titles,discripsion,lastest_Chap,condition,view,follow,link 
Smiley - Cười Lên,"Yuji Kamome, một nhà báo tự do đã mất đi đứa con gái yêu quý của mình trong một vụ tai nạn. Trong cơn tuyệt vọng, vợ anh cũng đã rời bỏ anh, để mặc anh trải qua những tháng ngày trống rỗng. Tuy nhiên, một ngày nọ, một tờ rơi từ một giáo phái kỳ lạ mang tên ""Tâm Tiếu Hội"" tìm đến và thay đổi số phận ...",Chapter 7,Tình trạng: Đang Cập Nhật,"Lượt xem: 68,414",Lượt theo dõi: 463,https://truyenqqhot.com/truyen-tranh/smiley-cuoi-len-12940
Gachi Akuta,"Thành phố, nơi các tầng lớp văn minh sinh sống - khu ổ chuột nơi tụ tập các đời con cháu của bọn tội phạm, hằng ngày đều bị người khác sỉ nhục, khinh bỉ, gọi họ là những thứ rác rưởi, lũ ""dân tộc"" gớm ghiếc, hai mặt trái của xã hội được ngăn cách bởi những bức tường cao vút, và bên dưới nơi ấy - Aby...",Chapter 19,Tình trạng: Đang Cập Nhật,"Lượt xem: 89,467",Lượt theo dõi: 948,https://truyenqqhot.com/truyen-tranh/gachi-akuta-12936
Kẻ Phán Xử,"Diễn ra vào thời kỳ cách mạng của Pháp!Đã có một nhà cách mạng mang biệt danh là ""Thiên thần chết chóc"". Tên anh ta là Saint-Just. Vì người chị của mình mà anh ta đã hạ quyết tâm sẽ triệt tiêu toàn bộ cặn bã. Đây cũng là nhân vật có thật trong lịch sử Pháp.",Chapter 9,Tình trạng: Đang Cập Nhật,"Lượt xem: 48,102",Lượt theo dõi: 435,https://truyenqqhot.com/truyen-tranh/ke-phan-xu-12928
Thầy Pháp Baek Cheoyong,"""Thầy pháp Baek Cheoyong"". ""Anh ơi, anh cũng có thể nhìn thấy chúng à? Em cũng có thể nhìn thấy bọn chúng đó. Những hồn ma."" Thầy Pháp Baek CheoYong. Một thầy pháp đã rơi vào cuộc sống sa đoạ khi anh ấy mất hết sức mạnh thần thánh và bị bỏ rơi bởi vị thần mà anh thờ phượng. Một người, thần linh của ...",Chapter 6,Tình trạng: Đang Cập Nhật,"Lượt xem: 9,519",Lượt theo dõi: 94,https://truyenqqhot.com/truyen-tranh/thay-phap-baek-cheoyong-12870
Ta Đương Âm Dương Tiên Sinh Những Năm Kia,"Một thằng ku bị chết đuối, đăng nhập vào âm phủ và được dượng nuôi, từ đó bắt đầu con đường sự nghiệp Âm Dương Sư ",Chapter 0,Tình trạng: Đang Cập Nhật,"Lượt xem: 4,812",Lượt theo dõi: 146,https://truyenqqhot.com/truyen-tranh/ta-duong-am-duong-tien-sinh-nhung-nam-kia-12837
Nodame Cantabile,"Chiaki Shinichi là một thiên tài âm nhạc luôn mơ ước được trở thành nhạc trưởng giống như Sebastianno Viera- người thầy mà cậu rất  yêu quí. Nhưng chỉ vì căn bệnh sợ máy bay (và thuyền) mà anh chàng đành phải tạm biệt giấc mộng du học và “an phận” ở Nhật Bản. Bức xúc và chán nản trước hoàn cảnh, cậu...",Chapter 29,Tình trạng: Đang Cập Nhật,"Lượt xem: 10,122",Lượt theo dõi: 38,https://truyenqqhot.com/truyen-tranh/nodame-cantabile-12812
Đại Học Kinh Hoàng,"Những hồn ma, những câu chuyện kinh dị được hiện thực hóa từ chính ""lòng tham"", ""dục tính"" của những sinh viên Đại học tuổi mới lớn.Chigarashi Mahina, một cô gái trầm tính liều mình lao đầu vào một buổi tiệc thác loạn trá hình của giới sinh viên hòng tìm cho bản thân một tình yêu để bù vào những năm...",Chapter 29,Tình trạng: Đang Cập Nhật,"Lượt xem: 200,427",Lượt theo dõi: 746,https://truyenqqhot.com/truyen-tranh/dai-hoc-kinh-hoang-12805
Câu Lạc Bộ Truyện Ma,"Trong buổi lễ nhập học, anh ta bị cuốn vào một hiện tượng kỳ lạ và chết. [Bạn đã chết.] [Đang khởi động lại từ trạm kiểm soát.] [Đang tải…] Nhưng sau đó, một thông báo hiện ra trước mắt anh. 『Chúc mừng bạn đã được nhận vào học tại Nakseong Highschool, ngôi trường của những bí mật và bí ẩn. Khám phá ...",Chapter 12,Tình trạng: Đang Cập Nhật,"Lượt xem: 36,098",Lượt theo dõi: 385,https://truyenqqhot.com/truyen-tranh/cau-lac-bo-truyen-ma-12782
Những Người Bị Cướp Thể Xác Bởi Người Ngoài Hành Tinh,"Một bộ truyện dễ thương, tình cảm về việc người ngoài hành tinh chiếm thể xác của con người.",Chapter 6,Tình trạng: Đang Cập Nhật,"Lượt xem: 35,753",Lượt theo dõi: 268,https://truyenqqhot.com/truyen-tranh/nhung-nguoi-bi-cuop-the-xac-boi-nguoi-ngoai-hanh-tinh-12717
"Umi No Yami, Tsuki No Kage",,Chapter 95,Tình trạng: Đang Cập Nhật,"Lượt xem: 66,226",Lượt theo dõi: 88,https://truyenqqhot.com/truyen-tranh/umi-no-yami-tsuki-no-kage-12507
Thế Giới Của Những Kẻ Tâm Thần,"Cô gái ấy đã bị sát hại. Xác của cô được chia thành hai mảnh bằng nhau. Nhưng chẳng may thay, sự ra đi của cô lại sớm bị chìm vào quên lãng, và tên thủ phạm cũng chưa được tìm ra. Suy cho cùng, trên thế giới này, kẻ yếu sẽ luôn bị kẻ mạnh chà đạp. Tuy nhiên, 12 năm sau, người bạn thời thơ ấu của cô,...",Chapter 2.2,Tình trạng: Đang Cập Nhật,"Lượt xem: 18,568",Lượt theo dõi: 167,https://truyenqqhot.com/truyen-tranh/the-gioi-cua-nhung-ke-tam-than-12494
Bạn Đồng Hành Của Tôi Là Undead Mạnh Nhất Ở Thế Giới Khác,"Yuuma, chàng trai vừa nhập đại học được triệu hồi sang thế giới khác. Những tưởng sẽ là một cuộc sống vui vẻ ở thế giới mới với sức mạnh như cheat được ban cho cậu, nhưng điều mong chờ của cậu ta rốt cuộc chỉ là sự máu lạnh và tàn nhẫn.""Tại sao chuyện này lại xảy ra đối với tôi..""Bên cạnh trái tim y...",Chapter 13,Tình trạng: Đang Cập Nhật,"Lượt xem: 143,255","Lượt theo dõi: 1,605",https://truyenqqhot.com/truyen-tranh/ban-dong-hanh-cua-toi-la-undead-manh-nhat-o-the-gioi-khac-12493
Truyền Thuyết 100 Câu Chuyện Ma,"Truyện kể về loạt chuyện tuyển tập kinh dị 100 truyện ma, một câu chuyện dân gian cổ có nguồn gốc từ Nhật Bản thường dùng trong những cuộc thi can đảm, người chơi phải kể 100 câu chuyện ma sau đó thổi nến và đứng trước gương mỗi khi xong một câu truyện. Khi ngọn nến thứ 100 được thổi tắt, thì ác quỷ...",Chapter 41,Tình trạng: Đang Cập Nhật,"Lượt xem: 396,149",Lượt theo dõi: 947,https://truyenqqhot.com/truyen-tranh/truyen-thuyet-100-cau-chuyen-ma-12481
Kedamonotachi No Jikan,"1 bộ tập hợp 4 tag Horror + Gore + Smut + Sexual violenceAiri Hirakawa, 1 người mẫu của 1 tạp chí phụ nữ nổi tiếng, đột nhiên bị đánh bởi một người trước nhà của cô ấy và rồi tỉnh dậy trong 1 căn phòng đầy rác, Airi bối rối khi cô là mục tiêu của Hirokazu Imai, là kẻ đã bắt cóc và theo dõi cô ấy.Và ...",Chapter 20,Tình trạng: Đang Cập Nhật,"Lượt xem: 148,517",Lượt theo dõi: 437,https://truyenqqhot.com/truyen-tranh/kedamonotachi-no-jikan-12448
Tam Canh Tứ Cổ,,Chapter 59,Tình trạng: Đang Cập Nhật,"Lượt xem: 198,945","Lượt theo dõi: 1,228",https://truyenqqhot.com/truyen-tranh/tam-canh-tu-co-12370
Death Sweeper,"Khi cuộc sống trở nên thất vọng và nhàm chán - thì họ sẽ làm gì. 1 câu trả lời thật khó...Nhưng có những con người thật điên rồ - đã tìm cách giải quyết cuộc đời mình bằng cách "" Tử tự "". Đó là 1 cách ngu ngốc và hèn nhát nhất trên cuộc đời này. Khi bạn đọc PJ này, bạn sẽ thấy cuộc sống của họ thật ...",Chapter 43,Tình trạng: Đang Cập Nhật,"Lượt xem: 116,299",Lượt theo dõi: 336,https://truyenqqhot.com/truyen-tranh/death-sweeper-12368
Bạch Cốt Đại Thánh,"Thiếu niên Tấn An xuyên việt đến dị giới tà vật hoành hành, được cao nhân cứu giúp thoát khỏi cái chết, từ đây bật hack đi lên con đường tu luyện. Âm Đức là tất yếu phẩm để thông hành thế giới này, âm mưu ngấm ngầm, Tấn an và những người bạn một đường tru tà phạt quỷ, cuối cùng cũng có thể hoá giải ...",Chapter 20,Tình trạng: Đang Cập Nhật,"Lượt xem: 62,956",Lượt theo dõi: 418,https://truyenqqhot.com/truyen-tranh/bach-cot-dai-thanh-12244
Quan Tài Hung Ác,,Chapter 15,Tình trạng: Đang Cập Nhật,"Lượt xem: 32,315",Lượt theo dõi: 180,https://truyenqqhot.com/truyen-tranh/quan-tai-hung-ac-12215
Đứa Trẻ Bình Thường,"Yeon-hee, một cảnh sát chính trực, vừa phải vật lộn với công việc vừa phải làm một người mẹ, một mình nuôi nấng cậu con trai Doyeon. Do-yeon, 20 tuổi, lớn lên trở thành một “đứa trẻ bình thường” với trái tim nhân hậu như mong muốn của mẹ cậu. Nhưng bóng đen của những vụ giết người hàng loạt bắt đầu ...",Chapter 7,Tình trạng: Đang Cập Nhật,"Lượt xem: 21,383",Lượt theo dõi: 174,https://truyenqqhot.com/truyen-tranh/dua-tre-binh-thuong-12182
Manshuu Ahen Squad,"Manga bước chân vào mặt tối của lịch sử Nhật Bản. Dành cho những ai yêu thích thế giới ngầm thực thụ và yêu thích lịch sử.""Người nào kiểm soát a phiến Người đó kiểm soát Mãn Châu.""Năm Chiêu Hòa thứ 12 (1937), Higata Isamu chuyển đến Mãn Châu Quốc với tư cách là Quan Đông Quân, đã cố gắng giúp đỡ một...",Chapter 45,Tình trạng: Đang Cập Nhật,"Lượt xem: 203,222",Lượt theo dõi: 609,https://truyenqqhot.com/truyen-tranh/manshuu-ahen-squad-12090
Sự Lãng Mạn Còn Tồn Tại,"Chaerin có 1 cuộc sống thoải mái và hạnh phúc như bao nữ chính trong các cuốn tiểu thuyết tình cảm. Cô chỉ quan tâm đến nam chính, Jeha, đến mức mà tất cả những thứ khác cũng chỉ như những tấm bóng đen mờ đặc. Nhưng rồi 1 ngày, câu chuyện của cô đột nhiên chuyển sang trang mới. Bất thình lình, cô ph...",Chapter 62,Tình trạng: Đang Cập Nhật,"Lượt xem: 210,020",Lượt theo dõi: 995,https://truyenqqhot.com/truyen-tranh/su-lang-man-con-ton-tai-12089
Núi Khỉ - Hang Đá,"Nhiều năm sau vụ tai nạn kinh hoàng ở phần 1, lúc này Saotome đã yên bề gia thất và luôn lảng tránh bất kì thông tin hay câu hỏi nào nhắc lại vụ tai nạn lần đó. Những tưởng mọi thớ sẽ êm đềm trôi nhưng Miyata lại mất tích trong 1 cuộc tìm kiếm con khỉ, vì việc này Saotome đã phải gia nhập đội tìm ki...",Chapter 9,Tình trạng: Đang Cập Nhật,"Lượt xem: 69,421",Lượt theo dõi: 370,https://truyenqqhot.com/truyen-tranh/nui-khi-hang-da-11922
Tao Là Ác Nhân,"Seonghoon một nam sinh không chút tài năng và sống một cuộc đời nhàm chán bỗng dưng được lựa chọn vào một trò chơi bí ẩn tại thế giới khác. Tại nơi đây, những người chơi phải hợp tác cùng nhau để vượt qua thử thách, hoặc sẽ phải tàn sát lẫn nhau cho đến khi chỉ còn duy nhất 1 người đứng vững. Rơi và...",Chapter 73,Tình trạng: Đang Cập Nhật,"Lượt xem: 701,598","Lượt theo dõi: 3,794",https://truyenqqhot.com/truyen-tranh/tao-la-ac-nhan-11880
Franken Fran Frantic,"FRANKEN FRAN FRANTIC là phần tiếp theo của bộ truyện FRANKEN FRAN : chuyến phiêu lưu kì lạ, hài hước và không kém phần rùng rợn của Fran, Veronica và những sinh vật quái dị sẽ được tiếp tục.  ",Chapter 7,Tình trạng: Đang Cập Nhật,"Lượt xem: 36,693",Lượt theo dõi: 177,https://truyenqqhot.com/truyen-tranh/franken-fran-frantic-11848
Tiên Sơn Truyền Kỳ,Truyện Tiên Sơn Truyền Kỳ là một tác phẩm truyện ma khác của tác giả Tam Lão Gia - Lão Thương. Truyện chính là phần tiền truyện của truyện U Minh Ngụy Tượng. Kể về nhân vật Liêu Phượng Nhất - người khai sáng Tiên Gia Sơn. Còn về chuyện gì đã xảy ra từ trước khi có U Minh Ngụy Tượng thì mọi người hãy...,Chapter 30,Tình trạng: Đang Cập Nhật,"Lượt xem: 25,037",Lượt theo dõi: 137,https://truyenqqhot.com/truyen-tranh/tien-son-truyen-ky-11833
Ác Mộng Kinh Hoàng,,Chapter 10,Tình trạng: Đang Cập Nhật,"Lượt xem: 34,235",Lượt theo dõi: 74,https://truyenqqhot.com/truyen-tranh/ac-mong-kinh-hoang-11821
Đại Chu Tiên Lại,"Xuyên việt qua thế giới Tiên hiệp, nơi mà yêu mị khắp nơi, quần ma loạn vũ, Lý Mộ ban đầu thực sự chỉ an ổn sống qua ngày, nhưng tiểu hồ ly mà hắn vô tình cứu được lại đột nhiên mở miệng nói tiếng người, rằng nó muốn lấy thân báo đáp...Đây là câu chuyện về một thanh niên hiện đại xuyên việt tới thế ...",Chapter 85,Tình trạng: Đang Cập Nhật,"Lượt xem: 803,242","Lượt theo dõi: 3,603",https://truyenqqhot.com/truyen-tranh/dai-chu-tien-lai-11796
Đại Dịch Seoul,"Một bệnh dịch bí ẩn đột nhiên xuất hiện tại Seoul, tốc độ lây lan của nó đáng sợ đến mức chỉ cần chạm nhẹ cũng sẽ bị lây nhiễm và vong mạng ngay lập tức! Liệu con người sẽ phải đối mặt và tự tìm cách sống sót trước thảm họa này thế nào đây?!",Chapter 45,Tình trạng: Đang Cập Nhật,"Lượt xem: 251,146","Lượt theo dõi: 1,524",https://truyenqqhot.com/truyen-tranh/dai-dich-seoul-11733
