titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Độc Bộ Thiên Hạ: Đặc Công Thần Y,Chapter 452,"Thể loại:Drama, Manhua, Ngôn Tình, Romance, Truyện Màu",Lượt xem:31M,Theo dõi:71K,Tình trạng:Đang tiến hành,"Nàng là chính là một vương bài của đội đặc công, là cao thủ y thuật lẫn độc thuật. Vẻ ngoài trẻ trung xinh đẹp nhưng bản tính lại tà ác. Nhìn thiên chân tuyệt mỹ nhưng lại có thể bất thình lình động thủ không chút do dự. Một ngày kia vì luyện ma thuật đen chưa thành đã khiến nàng xuyên qua trở thành một tiểu phế tài. Nàng sẽ thay đổi nơi nàng xuyên đến như thế nào?",//st.nettruyenup.com/data/comics/60/doc-bo-thien-ha-dac-cong-than-y.jpg,https://www.nettruyenup.com/truyen-tranh/doc-bo-thien-ha-dac-cong-than-y-220760
Boss Sát Thủ Dưỡng Hồ Yêu,Chapter 108,"Thể loại:Drama, Manhua, Ngôn Tình, Shoujo, Truyện Màu",Lượt xem:4.659K,Theo dõi:74K,Tình trạng:Đang tiến hành,"Vân Lưu Sương là di tộc cuối cùng của hồ yêu, dưới sự vận mệnh thúc giục gặp được Mặc Sênh thiên sát cô tinh quả tình duyên, hai người ban đầu mâu thuẫn không ngừng, lại không biết vận mệnh của nhau đã bị trói lại với nhau.Vốn tưởng rằng chỉ là một câu chuyện tình yêu lãng mạn của mỹ nữ tiểu phóng viên cùng tổng tài bá đạo, nhưng sự tình lại không đơn giản như vậy, thiên sư gia tộc, hàng đầu gia tộc, sát thủ gia tộc, hồ tộc nguyền rủa, nhiều thế lực bao bọc trong đó, tình yêu của Vân Lưu Sương cùng Mặc Sênh rốt cuộc phải đi về đâu….",//st.nettruyenup.com/data/comics/239/boss-sat-thu-duong-ho-yeu.jpg,https://www.nettruyenup.com/truyen-tranh/boss-sat-thu-duong-ho-yeu-560470
Tiểu Thiếu Gia Gia Tộc Tài Phiệt,Chapter 36.2,"Thể loại:Drama, Manhwa, Truyện Màu, Webtoon",Lượt xem:1.672K,Theo dõi:22K,Tình trạng:Đang tiến hành,"Đã chán với thể loại hầm ngục hệ thống?! Mời các bạn đón đọc một tác phẩm về đề tài drama danh gia vọng tộc đến từ Studio đã tạo nên Cuồng Ma Hồi Quy, Bạn Học Của Tôi Là Lính Đánh Thuê, Túy Kiếm Dạ Hành....! Thứ tôi nhận được sau 13 năm cống hiến lại là sự phản bội! Sau 13 năm làm việc như nô lệ, Yoon Hyun Woo - trưởng phòng của tập đoàn Sun Yang, đã bị bỏ rơi. Khi tôi nghĩ rằng mọi thứ đã kết thúc, tôi lại tỉnh dậy trong thân xác cháu trai Chủ tịch Jin của Tập đoàn Sun Yang. Nhưng bố tôi có thể sẽ không được hưởng thừa kế. Liệu tôi có thể trở thành người chiến thắng cuối cùng trong vở kịch chính trị của gia đình tài phiệt hay không?! Công cuộc trả thù tập đoàn Sun Yang của Yoon Hyun Woo chính thức bắt đầu!",//st.nettruyenup.com/data/comics/225/tieu-thieu-gia-gia-toc-tai-phiet.jpg,https://www.nettruyenup.com/truyen-tranh/tieu-thieu-gia-gia-toc-tai-phiet-71905
Ta Là Người Thu Thuế,Chapter 40,"Thể loại:Action, Adventure, Drama, Fantasy, Manhwa, Shounen, Truyện Màu",Lượt xem:471K,Theo dõi:13K,Tình trạng:Đang tiến hành,"Một ngày, mắt tôi nhìn thấy môt lượng lớn số thuế bị dấu đi. ""Thế giới này thật bẩn thỉu."" Và để thực thi công lý, gã mọt sách Sở Thuế Quốc Gia bắt đầu múa kiếm. Từ những người dân bình thường cho đến các quan chức cấp cao, chủ tịch tập đoàn hay người nắm quyền cao, chức trọng. Không ai có thể thoát khỏi lưỡi kiếm của ta. ""Đối với tôi, chỉ có hai loại người. Một người đóng thuế tận tâm hoặc một người trốn thuế. Bạn là loại người nào?""",//st.nettruyenup.com/data/comics/68/ta-la-nguoi-thu-thue.jpg,https://www.nettruyenup.com/truyen-tranh/ta-la-nguoi-thu-thue-668847
"Romeo, Chàng Hãy Biến Đi",Chapter 10,"Thể loại:Drama, Manhwa, Ngôn Tình, Truyện Màu, Webtoon",Lượt xem:50K,Theo dõi:3.088,Tình trạng:Đang tiến hành,"Rosaline tin rằng mình và Romeo được định mệnh sắp đặt trở thành người yêu, nhưng một vấn đề đã xẩy ra khi Romeo chết cùng ngày với em gái của Rosaline, Juliet. Rosaline phát hiện ra rằng mình có một chút ít ký ức cùng với Romeo – một đứa con trai. Tuy nhiên, trái tim của Rosaline đã thực sự tan vỡ khi cô biết được Romeo đã phản bội cô. Cô không còn cái gì để yêu thương nữa ngoại trừ đứa con của cô. Điều cuối cùng mà Rosaline muốn là Romeo hãy quay trở về Verona và lấy hết đi tất cả ký ức của cô và anh ta.",//st.nettruyenup.com/data/comics/11/romeo-chang-hay-bien-di-5085.jpg,https://www.nettruyenup.com/truyen-tranh/romeo-chang-hay-bien-di-79371
Em ấy muốn trở thành chồng của tôi,Chapter 34.2,Tình trạng:Đang tiến hành,Bình luận:46,Ngày cập nhật:18 giờ trước,Lượt xem:77K,,//st.nettruyenup.com/data/comics/173/em-ay-muon-tro-thanh-chong-cua-toi.jpg,https://www.nettruyenup.com/truyen-tranh/em-ay-muon-tro-thanh-chong-cua-toi-80301
Shibuya Kingyo,Chapter 42,"Thể loại:Action, Adult, Adventure, Drama, Fantasy, Horror, Manga, Mature, School Life, Sci-fi",Lượt xem:3.533K,Theo dõi:13K,Tình trạng:Đang tiến hành,"Tsukiyoda, một chàng trai nhút nhát, không thể hòa nhập được với cuộc sống hiện đại, sau khi giúp đỡ cô bạn nổi tiếng cùng trường và được trả công bằng bữa trưa. Những tưởng cuộc sống của mình đã thay đổi, nhưng không mọi thứ thay đổi",//st.nettruyenup.com/data/comics/89/shibuya-kingyo.jpg,https://www.nettruyenup.com/truyen-tranh/shibuya-kingyo-172410
Tôi Sẽ Ly Hôn Với Người Chồng Bạo Chúa Của Mình,Chapter 33.2,Tình trạng:Đang tiến hành,Bình luận:1.355,Ngày cập nhật:18 giờ trước,Lượt xem:1.519K,,//st.nettruyenup.com/data/comics/230/toi-se-ly-hon-voi-nguoi-chong-bao-chua-c-6731.jpg,https://www.nettruyenup.com/truyen-tranh/toi-se-ly-hon-voi-nguoi-chong-bao-chua-cua-minh-66534
Dưới bóng cây sồi,Chapter 65.3,Tác giả:Kim Soo ji,Lượt xem:12M,Theo dõi:78K,Tình trạng:Đang tiến hành,"Tên khác: Under the Oak Tree ""Maximilian là cô con gái cà lăm luôn bị công tước bạo hành. Cô bị cha mình ép gả cho Riftan- một hiệp sĩ xuất thân bần nông với mục đích đẩy trách nhiệm đi tiêu diệt con rồng đỏ Sect cho “con rể”. Ngay sau đêm tân hôn, Riftan lên đường đi viễn chinh mà không để lại lời nhắn nào. Ba năm sau, Riftan chiến thắng vang dội trở về với danh nghĩa hiệp sĩ nổi tiếng nhất toàn bộ châu lục. Cuộc hội ngộ giữa Maximilian và Riftan sẽ diễn ra như thế nào?""",//st.nettruyenup.com/data/comics/140/duoi-bong-cay-soi.jpg,https://www.nettruyenup.com/truyen-tranh/duoi-bong-cay-soi-372610
A.I. Doctor,Chapter 47,"Thể loại:Drama, Fantasy, Manhwa, Supernatural, Truyện Màu",Lượt xem:854K,Theo dõi:16K,Tình trạng:Đang tiến hành,"Soo Hyuk là một bác sĩ giỏi bình thường thôi. Nhưng tới một ngày cậu vô tình bị một con chip gắn vào đầu, con chip này chính là A.I. y tế tiên tiến. Cùng xem anh bác sĩ này có thể bá đến đâu nào!!! Dạo này cứ hứng thú với bác sĩ nên làm luôn, có ai coi Hospital Playlist chưa? Hay lắm ó!",//st.nettruyenup.com/data/comics/200/ai-doctor.jpg,https://www.nettruyenup.com/truyen-tranh/ai-doctor-534483
Xuyên Sách Đến Phát Ngán,Chapter 29,"Thể loại:Chuyển Sinh, Drama, Manhwa, Ngôn Tình, Truyện Màu, Xuyên Không",Lượt xem:1.173K,Theo dõi:24K,Tình trạng:Đang tiến hành,"Bây giờ tôi đã chán ngấy cái việc xuyên sách rồi. Cũng đúng thôi, tôi đã xuyên lần thứ 4 rồi cơ mà. Nhân vật tôi xuyên vào lần này là chị gái phản diện của nữ chính. “Ah, thật nhàm chán” Bây giờ tôi không cảm thấy hứng thú về cuộc sống và nhân vật tôi xuyên vào là ai nữa. Tôi chỉ việc sống một cuộc sống thật lâu và sau đó sẽ bị chuyển qua kiếp sau…. Nhưng dù sao thì xuyên sách lần này cũng có vài điều mới lạ. “Lý do gì mà mình không thể sử dụng khả năng như lần trọng sinh thứ 2 chứ?” “Sao nữ chính cứ bám riết lấy mình thế?” Nữ chính Alicia trong nguyên tác, có hoàn cảnh vô cùng bất hạnh, khó khăn. Với thân phận là nữ chính của lần trọng sinh trước, tôi không thể để yên cho cô ấy đi trên con đường bùn lầy. Tôi sẽ lợi dụng tất cả những gì tôi có để làm thay đổi vận mệnh của Alicia. “Em gái của chị, sẽ không ai được phép ép buộc em trở thành nữ chính đâu” Sau đó tôi đã nhặt được anh trai của nam chính, người đã giúp đỡ Alicia trong việc chạy trốn. Cassion Carter, nhân vật phản diện có số phận bị nam chính sát hại. *** “Nếu anh muốn sống, hãy hứa với tôi một điều” Một hơi thở nặng nhọc phát ra từ khuôn mặt đỏ bừng của anh. Một hơi thở tội nghiệp giống như động vật hoang dã bị bỏ rơi. Tôi vuốt ve khuôn mặt tội nghiệp của người đàn ông nọ và thì thầm nhỏ. “Nếu tôi cứu anh…” Anh hãy liều mạng và bảo vệ em gái của tôi.",//st.nettruyenup.com/data/comics/78/xuyen-sach-den-phat-ngan.jpg,https://www.nettruyenup.com/truyen-tranh/xuyen-sach-den-phat-ngan-75598
Nữ Chính Muốn Tôi Trở Thành Chị Dâu Của Cô Ấy,Chapter 25,Tình trạng:Đang tiến hành,Bình luận:625,Ngày cập nhật:19 giờ trước,Lượt xem:758K,"Tôi đang ở trong thế giới của một cuốn tiểu thuyết R19 dựa trên cô bé quàng khăn đỏ ăn thịt những con sói. Vấn đề chính là em trai tôi lại là một con sói. Tôi cùng em trai sống ẩn ở sâu trong rừng, nơi mà cô bé quàng khăn đỏ không thể tìm thấy được chúng tôi, và chúng tôi có thể trốn thoát đến thế giới loài người một cách an toàn! Nhưng vào một ngày nọ, tôi tìm thấy một đứa trẻ ngã ở nơi tuyết hẻo lánh và mang em ấy về nhà để chữa trị. Nhưng không may em ấy lại là nữ chính: cô bé quàng khăn đỏ!” Em không nhớ bất cứ điều gì cả!” Đứa trẻ ấy đã mất trí nhớ sau vụ tai nạn! Tôi sợ phải chết, nhưng tôi không thể bỏ mặc một đứa trẻ đang bệnh. Tôi chỉ hy vọng khi em ấy lấy lại kí ức có thể nhớ đến lòng hiếu khách của tôi. Nhưng đứa trẻ này- -“mẫu người lí tưởng của chị là gì vậy?” “Chị nghĩ sao về chàng trai vừa rồi? Anh ta đẹp trai thế nào?” Cô bé ấy quá tò mò về tôi. Chắc là do tôi tưởng tượng thôi, đôi mắt của em ấy bắt đầu trở nên lấp lánh ngay khi tôi nói đến mẫu người lí tưởng của mình, phải không?",//st.nettruyenup.com/data/comics/97/nu-chinh-muon-toi-tro-thanh-chi-dau-cua-5040.jpg,https://www.nettruyenup.com/truyen-tranh/nu-chinh-muon-toi-tro-thanh-chi-dau-cua-co-ay-78689
Ngôn Tiếu Loan Loan,Chapter 23,Tình trạng:Đang tiến hành,Bình luận:31,Ngày cập nhật:19 giờ trước,Lượt xem:64K,"Một cô gái 18 tuổi thức dậy và thấy rằng mình 25 tuổi và đã kết hôn. Cô ấy vừa vào đại học một giây trước, giây sau đã kết hôn với người khác, trở thành một nữ tổng thống bá đạo! Còn chồng cô là Giang Kính Ngôn – một học sinh cá biệt ở trường và họ đã từng rất ghét nhau.",//st.nettruyenup.com/data/comics/231/ngon-tieu-loan-loan.jpg,https://www.nettruyenup.com/truyen-tranh/ngon-tieu-loan-loan-79335
Tôi Sẽ Trở Thành Kẻ Phản Diện Được Khắc Ghi Trong Lịch Sử,Chapter 12,Tác giả:Tetsuhiro Hirakawa,Lượt xem:138K,Theo dõi:2.722,Tình trạng:Đang tiến hành,"Tôi cực kỳ ghét một thế giới đầy những lời nói ngọt ngào. Tôi sẽ chiến đấu với lý lẽ của Nữ chính !!! Sau khi thức dậy với tư cách là nhân vật phản diện mà cô vô cùng ngưỡng mộ từ trò chơi otome yêu thích của mình, Alicia rèn luyện chăm chỉ mỗi ngày để trở thành nhân vật phản diện vĩ đại nhất mọi thời đại.",//st.nettruyenup.com/data/comics/38/toi-se-tro-thanh-ke-phan-dien-duoc-khac-3730.jpg,https://www.nettruyenup.com/truyen-tranh/toi-se-tro-thanh-ke-phan-dien-duoc-khac-ghi-trong-lich-su-79654
Thể Thao Cực Hạn,Chapter 436,Tác giả:Jo YongSeuk,Lượt xem:66M,Theo dõi:149K,Tình trạng:Đang tiến hành,"Tên khác: Wind Breaker ""Thể Thao Mạo Hiểm""  và đây cũng là truyện trẻ trâu hư cấu. Tôi giả thuyết rằng các bạn biết thực tế và truyện tranh là khác nhau. Vậy nên luôn đội mũ bảo hiểm",//st.nettruyenup.com/data/comics/236/the-thao-cuc-han.jpg,https://www.nettruyenup.com/truyen-tranh/the-thao-cuc-han-91965
Jubunnoichi no Hanayome,Chapter 39.5,Tình trạng:Đang tiến hành,Bình luận:917,Ngày cập nhật:22 giờ trước,Lượt xem:789K,"mở đầu câu chuyện là một thanh niên bị lừa 20 triệu yên nên bị biến thành0 hikikomori và rất sợ gái sau đợt đó, không những thứ sau bao năm gặp lại cha của main và đòi tiền lại, nhưng bị ép buộc để trả nợ bằng cách 10 bé đó chọn ra 1 cưới vợ sinh con nối dõi sau này, không những thế được thừa kế bởi công ty của cha mình sau này để lại!!  đúng như câu nói ông bà ta thường nói "" có tiền mua loli còn được "" FB của nhóm theo dõi cập nhật chap mới nhất. Daisuki_imouto Editor Đam Mê Manga",//st.nettruyenup.com/data/comics/49/jubunnoichi-no-hanayome.jpg,https://www.nettruyenup.com/truyen-tranh/jubunnoichi-no-hanayome-215530
Chức nghiệm [Thẩm định] không thuận lợi nhưng thực ra lại là kẻ mạnh nhất,Chapter 39.1,"Thể loại:Action, Adventure, Drama, Fantasy, Manga, Shounen",Tình trạng:Đang tiến hành,Bình luận:2.439,Tác giả:Ibara Kino - Fuji Morohoshi,"Khi một đứa trẻ được sinh ra, chúng được nữ thần ánh sáng ban cho [JOB]. Thật không may, Ain được ban cho một chức nghiệp tệ hại [Người thẩm định]. Tất cả những gì cậu có thể làm là thẩm định tài liệu, và vì vậy bị đối xử bất công. Sau đó, một ngày nọ, cậu tình cờ bắt gặp một cái cây xếp hạng S ẩn trong một hầm ngục. Sau cuộc gặp gỡ này, Ain thay đổi một cách chậm rãi nhưng hiệu quả ...(hikki team)",//st.nettruyenup.com/data/comics/32/chuc-nghiem-tham-dinh-khong-thuan-loi-nh-1761.jpg,https://www.nettruyenup.com/truyen-tranh/chuc-nghiem-tham-dinh-khong-thuan-loi-nhung-thuc-ra-lai-la-ke-manh-nhat-420160
Trở Thành Cô Cháu Gái Bị Khinh Miệt Của Gia Tộc Võ Lâm,Chapter 8,"Thể loại:Drama, Fantasy, Manhwa, Ngôn Tình, Romance, Truyện Màu, Webtoon",Lượt xem:133K,Theo dõi:10K,Tình trạng:Đang tiến hành,"Cô xuyên không trở thành một nhân vật chính trong thế giới võ lâm. Cô trở thành BaekRi Yeon, đứa con gái ngốc nghếch và quậy phá của BaekRi Eui Kang, một người thầy chân chính và là người đã dẫn dắt nhân vật nam chính trở thành một anh hùng. Sau khi bất ngờ bị giết, cô mở mắt ra và trở thành một đứa trẻ có thể làm đảo ngược mọi thứ. ‘Mình, lần này có thể nhận được sự yêu thương không?” Ở kiếp này, cô có niềm tin rằng mình sẽ trở thành con gái được yêu thương chứ không phải đứa con gái chịu nhiều tổn thương nữa, cô bắt đầu cuộc sống được mọi người kính trọng từ cháu gái của gia đình Baekri. Những gia tộc cản trở xuất hiện trước mặt Yeon, người chỉ muốn đi trên con đường rải đẩy hoa, và Baek Ri Pae-hyeok, là tộc trưởng và cũng là ông nội của cô, ông sở hữu khí phách của một vị vua, người có thể khiến cả núi sông và cây cối rung chuyển chỉ bằng một ánh mắt. “Ngươi cho rằng ngươi đáng giá như thế sao!” “Vâng!” Ông không thể che giấu sự hốt hoảng trước khí thế mạnh mẽ của cháu gái “Nếu còn một tia hy vọng mong manh, người làm cha sao con có thể từ bỏ?” “…Như là một đứa trẻ cứng đầu.” Ông lão bắt đầu mềm lòng vì hai cha con tuyệt mỹ đánh bại với quyết tâm sẽ cứu đứa cháu gái không có tài nghệ võ công … Tôi nghĩ rằng được sống ở thời điểm này là xứng đáng, nhưng nỗi ám ảnh của các ứng cử viên nam chính đột nhiên bắt đầu? Yeoni của chúng ta, bây giờ hãy chỉ đi trên con đường hoa thôi nhé!",//st.nettruyenup.com/data/comics/0/tro-thanh-co-chau-gai-bi-khinh-miet-cua-3776.jpg,https://www.nettruyenup.com/truyen-tranh/tro-thanh-co-chau-gai-bi-khinh-miet-cua-gia-toc-vo-lam-79104
Tồn tại như một nữ hầu,Chapter 99,"Thể loại:Drama, Fantasy, Historical, Manhwa, Ngôn Tình, Romance, Webtoon",Tình trạng:Đang tiến hành,Bình luận:1.222,Tác giả:Heeseo - Khôi Quỷ Các - Nettruyen,"Truyện được dịch bởi Khôi Quỷ Các, reup sau page Khôi Quỷ Các 1 chap. Truyện ra vào thứ 4 và thứ 7 hàng tuần. Khi tôi mở mắt trong khi nấu ramen, tôi thức dậy với tư cách là hầu gái của Nữ hoàng, người được nhà vua đối xử lạnh lùng trong tiểu thuyết BL, nơi Vua là gay, hiệp sĩ là gay, người hầu là gay và người thủ thư cũng là gay. Liệu cô có thể sống sót an toàn sau khi trở thành một hầu gái bình thường, Ash, người không phải là nhân vật chính? Một người hầu sẽ tồn tại như thế nào?",//st.nettruyenup.com/data/comics/54/ton-tai-nhu-mot-nu-hau.jpg,https://www.nettruyenup.com/truyen-tranh/ton-tai-nhu-mot-nu-hau-310313
Ma Vương Đại Nhân Luôn Trêu Chọc Tôi,Chapter 53,Tình trạng:Đang tiến hành,Bình luận:530,Ngày cập nhật:14 ngày trước,Lượt xem:461K,"Hà Miễn-một sinh viên đại học mắc chứng rối loạn ám ảnh sợ xã hội đã hoàn thành trò chơi yêu thích của mình 100 lần. Tình cờ, quỷ vương Gareth trong trò chơi này lại xuyên không đến thế giới của cậu. Để thoát khỏi những lời trêu ghẹo phiền phức của Gareth và đưa y trở lại trò chơi. Cả hai đã lên đường thu thập các đạo cụ trong trò chơi được phân tán ở khắp nơi trên thế giới",//st.nettruyenup.com/data/comics/195/ma-vuong-dai-nhan-luon-treu-choc-toi.jpg,https://www.nettruyenup.com/truyen-tranh/ma-vuong-dai-nhan-luon-treu-choc-toi-562590
